mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.6400798320770265,0.9678278578544364,0.7624467849731446,0.3932784780537563,rbf,scale,3,10,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'C': 10}",0.8580715059588299,0.8179848320693391,0.8492407809110629,0.8383947939262473,0.8590021691973969,0.8445388164125752,0.01521376894192815,6
4.192634010314942,0.757192630107408,0.6365211963653564,0.3389543061459975,rbf,scale,4,100,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'C': 100}",0.8710725893824486,0.8136511375947996,0.8503253796095445,0.841648590021692,0.8611713665943601,0.847573812640569,0.019649494894372413,5
335.11063380241393,77.65847319831082,0.20740909576416017,0.05012857108428727,linear,auto,2,100,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 2, 'C': 100}",0.8699891657638137,0.8342361863488624,0.8546637744034707,0.8546637744034707,0.8655097613882863,0.8558125324615806,0.012354684798657348,1
2.117607927322388,0.968710742114475,0.36168251037597654,0.18942668396688023,sigmoid,auto,3,10,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 3, 'C': 10}",0.8049837486457205,0.7843986998916577,0.7819956616052061,0.797180043383948,0.8156182212581344,0.7968352749569334,0.012603159002900235,8
157.95115442276,50.399379756613335,0.6805860996246338,0.4185177602875112,poly,scale,4,10,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 4, 'C': 10}",0.7280606717226435,0.7204767063921993,0.7147505422993492,0.720173535791757,0.7125813449023861,0.7192085602216671,0.0053794638630674995,10
2.5099170207977295,0.28425917482456814,0.25956263542175295,0.05886091652212517,linear,auto,2,0.1,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 2, 'C': 0.1}",0.8699891657638137,0.8266522210184182,0.8579175704989154,0.8449023861171366,0.868763557483731,0.853644980176403,0.01624192604479836,3
443.62739596366885,68.99657409616523,0.40149812698364257,0.11352157325939548,poly,auto,4,1,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 4, 'C': 1}",0.7843986998916577,0.7854821235102926,0.779826464208243,0.7722342733188721,0.8004338394793926,0.7844750800816915,0.009242823720679687,9
348.1396443367004,91.90710271128634,0.23071656227111817,0.10755469571440966,linear,auto,4,100,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 4, 'C': 100}",0.8699891657638137,0.8342361863488624,0.8546637744034707,0.8546637744034707,0.8655097613882863,0.8558125324615806,0.012354684798657348,1
9.506904745101929,2.15156194666498,0.23559675216674805,0.16678272280239445,linear,scale,3,1,"{'kernel': 'linear', 'gamma': 'scale', 'degree': 3, 'C': 1}",0.866738894907909,0.8309859154929577,0.8546637744034707,0.8503253796095445,0.8644251626898047,0.8534278254207374,0.012750827886908454,4
3.777334785461426,0.8106619697298159,0.4793064117431641,0.23149440191543524,sigmoid,auto,2,1,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 2, 'C': 1}",0.8169014084507042,0.7843986998916577,0.7841648590021691,0.8036876355748374,0.8188720173535792,0.8016049240545895,0.015077683191597323,7
