mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.037958288192749,0.24164938976241596,0.021878957748413086,0.0073825804172587385,1.0,100,5,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.2}",0.8840736728060672,0.8613217768147345,0.8665943600867679,0.8633405639913232,0.8904555314533622,0.873157181030451,0.011814534284702605,8
0.41292710304260255,0.09749650383741869,0.015295457839965821,0.008850533606473482,0.6,50,3,0.1,"{'subsample': 0.6, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.8884073672806068,0.8689057421451788,0.8709327548806941,0.8752711496746204,0.89587852494577,0.879879107785374,0.010491880872458987,2
1.404059600830078,0.5557582059120442,0.019327354431152344,0.010624298190619726,0.8,50,10,0.2,"{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.2}",0.8732394366197183,0.8483206933911159,0.8579175704989154,0.8611713665943601,0.8893709327548807,0.8660039999717981,0.014140785761634293,10
2.246644639968872,0.6617463851680905,0.05976643562316895,0.03588181583023385,1.0,200,5,0.01,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01}",0.8786565547128927,0.8634886240520043,0.8644251626898047,0.8763557483731019,0.8893709327548807,0.8744594045165368,0.009639604734991324,6
2.9146852016448976,0.7756125043240147,0.01909193992614746,0.0019307111310012026,0.6,200,5,0.01,"{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.01}",0.8840736728060672,0.8678223185265439,0.8698481561822126,0.8731019522776573,0.8969631236442517,0.8783618446873465,0.01086152412056991,4
0.47758021354675295,0.20947849458365053,0.012712526321411132,0.0029753626575435236,0.6,100,3,0.1,"{'subsample': 0.6, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.8884073672806068,0.8678223185265439,0.8709327548806941,0.8720173535791758,0.903470715835141,0.8805301020204324,0.013523215517376452,1
1.483870792388916,0.6930967066085976,0.028749370574951173,0.02056564315875689,0.6,200,3,0.2,"{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.2}",0.8786565547128927,0.8645720476706392,0.8676789587852495,0.8709327548806941,0.8872017353579176,0.8738084102814787,0.008173562564006212,7
2.1811530113220217,0.12536865644824127,0.06329541206359864,0.042750072899636,0.6,100,10,0.2,"{'subsample': 0.6, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.2}",0.8819068255687974,0.8624052004333694,0.8546637744034707,0.8633405639913232,0.8785249457700651,0.8681682620334052,0.010343111326632683,9
1.205329465866089,0.4039823754071355,0.02492814064025879,0.022832223069689638,1.0,200,3,0.2,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.2}",0.8905742145178764,0.8710725893824486,0.8622559652928417,0.8655097613882863,0.89587852494577,0.8770582111054447,0.013602848236089907,5
0.3542903423309326,0.1983864358146719,0.013439655303955078,0.002986092405862011,0.8,50,3,0.2,"{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.2}",0.8873239436619719,0.8689057421451788,0.8698481561822126,0.868763557483731,0.903470715835141,0.8796624230616471,0.013830003559671039,3
