mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,param_estimator,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.273310995101928,1.6298964511031764,0.26515588760375974,0.19405269426480215,50,0.01,GaussianNB(),SAMME,"{'n_estimators': 50, 'learning_rate': 0.01, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.8309859154929577,0.7843986998916577,0.7928416485900217,0.7863340563991323,0.8308026030368764,0.8050725846821292,0.021268156057724624,7
4.5284130573272705,1.2123866121426496,0.3833799362182617,0.17376732278631027,50,0.1,GaussianNB(),SAMME,"{'n_estimators': 50, 'learning_rate': 0.1, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.8537378114842904,0.7952329360780065,0.8264642082429501,0.8047722342733189,0.8481561822125814,0.8256726744582294,0.023052950507661173,4
9.133026313781738,1.4146884736674017,0.6329549789428711,0.3031962105282136,100,0.01,GaussianNB(),SAMME,"{'n_estimators': 100, 'learning_rate': 0.01, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.8309859154929577,0.7833152762730228,0.7960954446854663,0.7928416485900217,0.8308026030368764,0.806808177615669,0.02010989037021421,6
14.807588577270508,3.1036451903010787,1.7765561103820802,1.1653731957735938,200,10,GaussianNB(),SAMME,"{'n_estimators': 200, 'learning_rate': 10, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.7183098591549296,0.7183098591549296,0.7190889370932755,0.7180043383947939,0.7180043383947939,0.7183434664385445,0.00039698893087972744,8
1.697119903564453,0.8131361037948912,0.1624296188354492,0.12082777456176425,200,1,GaussianNB(),SAMME,"{'n_estimators': 200, 'learning_rate': 1, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.8504875406283857,0.8049837486457205,0.8123644251626898,0.8026030368763557,0.8655097613882863,0.8271897025402876,0.025801602802359533,1
1.8996030807495117,0.722001156813224,0.14385051727294923,0.04315967028142706,50,1,GaussianNB(),SAMME,"{'n_estimators': 50, 'learning_rate': 1, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.8504875406283857,0.8049837486457205,0.8123644251626898,0.8026030368763557,0.8655097613882863,0.8271897025402876,0.025801602802359533,1
7.813294410705566,1.4849263517006421,0.7379321575164794,0.44609463792731396,100,10,GaussianNB(),SAMME,"{'n_estimators': 100, 'learning_rate': 10, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.7183098591549296,0.7183098591549296,0.7190889370932755,0.7180043383947939,0.7180043383947939,0.7183434664385445,0.00039698893087972744,8
4.005659723281861,1.6090323750345716,0.4447892665863037,0.24697334915432162,50,10,GaussianNB(),SAMME,"{'n_estimators': 50, 'learning_rate': 10, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.7183098591549296,0.7183098591549296,0.7190889370932755,0.7180043383947939,0.7180043383947939,0.7183434664385445,0.00039698893087972744,8
19.209040069580077,4.437492720060095,1.0441402435302733,0.40220980167749354,200,0.01,GaussianNB(),SAMME,"{'n_estimators': 200, 'learning_rate': 0.01, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.838569880823402,0.781148429035753,0.8036876355748374,0.7939262472885033,0.8253796095444685,0.8085423604533929,0.020845966193659266,5
2.375998544692993,1.04967159093104,0.14072542190551757,0.07772531620372529,100,1,GaussianNB(),SAMME,"{'n_estimators': 100, 'learning_rate': 1, 'estimator': GaussianNB(), 'algorithm': 'SAMME'}",0.8504875406283857,0.8049837486457205,0.8123644251626898,0.8026030368763557,0.8655097613882863,0.8271897025402876,0.025801602802359533,1
