mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51.56652798652649,4.349011162851699,0.05350303649902344,0.015049907158121812,0.6,200,2,1,10,0.1,"{'subsample': 0.6, 'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'learning_rate': 0.1}",0.8808234019501625,0.8634886240520043,0.851409978308026,0.8655097613882863,0.8817787418655098,0.8686021015127979,0.011439085233014111,5
26.406780672073364,3.8805047775592882,0.03900203704833984,0.023318409109433218,0.8,100,10,1,10,0.5,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'learning_rate': 0.5}",0.875406283856988,0.8613217768147345,0.8665943600867679,0.8665943600867679,0.8882863340563991,0.8716406229803315,0.009472782311834998,2
26.67732310295105,1.9545012034907863,0.019471454620361327,0.005429429996300862,0.8,100,10,4,10,0.01,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'learning_rate': 0.01}",0.8721560130010835,0.866738894907909,0.8622559652928417,0.8720173535791758,0.8850325379609545,0.8716401529483928,0.007640021944582589,3
5.538894748687744,1.2043873372996683,0.011906290054321289,0.006068802003895241,1.0,50,5,1,3,0.01,"{'subsample': 1.0, 'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.01}",0.8060671722643553,0.8060671722643553,0.8112798264642083,0.8047722342733189,0.8156182212581344,0.8087609253048743,0.004093644778749443,10
50.51349539756775,6.043143976881056,0.07235631942749024,0.06602042614153213,0.8,200,10,1,10,0.01,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'learning_rate': 0.01}",0.875406283856988,0.8656554712892741,0.8590021691973969,0.868763557483731,0.8872017353579176,0.8712058434370615,0.00958345777545541,4
3.819493818283081,0.6730999314039254,0.01320643424987793,0.012256269027456185,0.8,50,2,1,3,0.5,"{'subsample': 0.8, 'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.5}",0.866738894907909,0.847237269772481,0.8546637744034707,0.8503253796095445,0.886117136659436,0.8610164910705682,0.014193745999993608,8
13.058302736282348,2.4871003936137805,0.023445940017700194,0.014795106358862395,0.8,50,10,4,10,0.2,"{'subsample': 0.8, 'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'learning_rate': 0.2}",0.8732394366197183,0.8580715059588299,0.8546637744034707,0.8579175704989154,0.8839479392624728,0.8655680453486815,0.011227659929055845,6
5.844103765487671,0.8509335112393789,0.019023752212524413,0.008762631892404933,0.6,100,10,4,3,0.1,"{'subsample': 0.6, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.1}",0.8884073672806068,0.8678223185265439,0.8644251626898047,0.868763557483731,0.8926247288503254,0.8764086269662024,0.0116850924303168,1
10.584509897232056,1.0072872882203183,0.017496919631958006,0.009558631657705915,0.8,100,5,4,5,0.01,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.01}",0.8580715059588299,0.8494041170097508,0.8535791757049892,0.851409978308026,0.8600867678958786,0.854510308975495,0.004008273290357351,9
22.954586887359618,3.8714016918616414,0.02377142906188965,0.00831261775840939,0.8,200,10,1,5,0.5,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.5}",0.8678223185265439,0.8624052004333694,0.8590021691973969,0.8503253796095445,0.8828633405639913,0.8644836816661693,0.010805396222191711,7
