mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.180339431762695,1.7831036278709274,0.28046693801879885,0.027234335596251293,200,0.1,"{'n_estimators': 200, 'learning_rate': 0.1}",0.8819068255687974,0.8656554712892741,0.8655097613882863,0.8665943600867679,0.8882863340563991,0.8735905504779049,0.00961600541184454,1
10.719282865524292,1.7096892884909685,0.4058197021484375,0.23734191473490682,200,1,"{'n_estimators': 200, 'learning_rate': 1}",0.8743228602383532,0.8515709642470206,0.8655097613882863,0.8633405639913232,0.8817787418655098,0.8673045783460986,0.010249283688545482,3
4.747949171066284,1.2411450532141968,0.17023749351501466,0.1237478239271388,100,1,"{'n_estimators': 100, 'learning_rate': 1}",0.8721560130010835,0.847237269772481,0.8644251626898047,0.8579175704989154,0.8904555314533622,0.8664383094831294,0.014524839162656027,4
9.954630756378174,1.9889843908617364,0.4442551612854004,0.1849307972879628,200,0.01,"{'n_estimators': 200, 'learning_rate': 0.01}",0.8060671722643553,0.8060671722643553,0.8112798264642083,0.8047722342733189,0.8156182212581344,0.8087609253048743,0.004093644778749443,6
2.5130927562713623,1.0732146584473492,0.17243542671203613,0.11873308321482672,50,0.1,"{'n_estimators': 50, 'learning_rate': 0.1}",0.8580715059588299,0.8580715059588299,0.8644251626898047,0.8470715835140998,0.8644251626898047,0.8584129841622739,0.006342762248154404,5
2.50648946762085,0.47615351727220373,0.12046613693237304,0.03955693481220429,50,10,"{'n_estimators': 50, 'learning_rate': 10}",0.8060671722643553,0.8060671722643553,0.8112798264642083,0.8047722342733189,0.8156182212581344,0.8087609253048743,0.004093644778749443,6
4.255402755737305,0.5751199462237389,0.15963635444641114,0.06890020147304748,100,0.1,"{'n_estimators': 100, 'learning_rate': 0.1}",0.8743228602383532,0.8678223185265439,0.8676789587852495,0.8676789587852495,0.8806941431670282,0.871639447900485,0.0051986466097665275,2
6.276554775238037,2.0218856515879495,0.2645317554473877,0.1487178321264006,100,10,"{'n_estimators': 100, 'learning_rate': 10}",0.8060671722643553,0.8060671722643553,0.8112798264642083,0.8047722342733189,0.8156182212581344,0.8087609253048743,0.004093644778749443,6
2.362802267074585,1.0136240482301508,0.12727932929992675,0.08927559702447883,50,0.01,"{'n_estimators': 50, 'learning_rate': 0.01}",0.8060671722643553,0.8060671722643553,0.8112798264642083,0.8047722342733189,0.8156182212581344,0.8087609253048743,0.004093644778749443,6
4.626785469055176,1.1896530126880023,0.16313838958740234,0.0457537672735027,100,0.01,"{'n_estimators': 100, 'learning_rate': 0.01}",0.8060671722643553,0.8060671722643553,0.8112798264642083,0.8047722342733189,0.8156182212581344,0.8087609253048743,0.004093644778749443,6
